Number,Date,Distance,Average Speed,Vertical,Profile score,Stage type,Year,Race 
20,01 June 2000,176,37.376,3725,273,5,2000,giro-d-italia
21,02 June 2000,177,31.977,3955,287,5,2000,giro-d-italia
22,03 June 2000,34,34.104,1304,178,5,2000,giro-d-italia
23,04 June 2000,0,37.6467,0,0,0,2000,giro-d-italia
1,19 May 2001,7.6,58.97,6,0,1,2001,giro-d-italia
2,20 May 2001,202,38.464,2822,85,2,2001,giro-d-italia
3,21 May 2001,167,45.632,1018,17,3,2001,giro-d-italia
4,22 May 2001,149,39.822,1965,66,2,2001,giro-d-italia
5,23 May 2001,169,36.98,2828,176,5,2001,giro-d-italia
6,24 May 2001,229,41.729,1095,11,2,2001,giro-d-italia
7,25 May 2001,150,35.519,1774,46,2,2001,giro-d-italia
8,26 May 2001,239,35.144,2338,86,2,2001,giro-d-italia
9,27 May 2001,185,37.706,4026,166,4,2001,giro-d-italia
10,28 May 2001,142,41.024,153,0,1,2001,giro-d-italia
11,29 May 2001,212,40.209,1400,24,2,2001,giro-d-italia
12,30 May 2001,187,40.285,2648,108,2,2001,giro-d-italia
13,31 May 2001,139,39.103,345,11,1,2001,giro-d-italia
14,01 June 2001,225,30.351,5906,397,5,2001,giro-d-italia
15,02 June 2001,163,31.196,3128,221,4,2001,giro-d-italia
16,03 June 2001,55.5,46.519,540,19,1,2001,giro-d-italia
17,04 June 2001,142,36.58,259,2,1,2001,giro-d-italia
18,-1,-1,-1,-1,-1,-1,2001,giro-d-italia
19,06 June 2001,119,32.923,2447,117,4,2001,giro-d-italia
20,07 June 2001,230,,6215,437,5,2001,giro-d-italia
21,08 June 2001,163,45.474,518,3,1,2001,giro-d-italia
22,09 June 2001,181,35.767,3331,177,4,2001,giro-d-italia
23,10 June 2001,0,40.1661,,,0,2001,giro-d-italia
1,11 May 2002,6.5,47.561,21,0,1,2002,giro-d-italia
2,12 May 2002,215,38.252,452,1,1,2002,giro-d-italia
3,13 May 2002,209,38.561,2677,89,3,2002,giro-d-italia
4,14 May 2002,206,35.625,2516,55,2,2002,giro-d-italia
5,15 May 2002,232,41.279,1668,19,2,2002,giro-d-italia
6,16 May 2002,150,39.691,1825,133,5,2002,giro-d-italia
7,17 May 2002,190,38.416,2357,106,2,2002,giro-d-italia
8,-1,-1,-1,-1,-1,-1,2002,giro-d-italia
9,19 May 2002,159,39.101,1235,79,2,2002,giro-d-italia
10,20 May 2002,237,40.874,2328,70,3,2002,giro-d-italia
11,21 May 2002,201,43.236,1546,15,2,2002,giro-d-italia
12,22 May 2002,118,39.91,1570,46,3,2002,giro-d-italia
13,23 May 2002,140,34.48,2864,185,5,2002,giro-d-italia
14,24 May 2002,200,35.475,3389,172,2,2002,giro-d-italia
15,25 May 2002,190,37.496,3486,226,5,2002,giro-d-italia
16,26 May 2002,30.3,43.97,471,35,1,2002,giro-d-italia
17,-1,-1,-1,-1,-1,-1,2002,giro-d-italia
18,28 May 2002,156,42.008,540,7,2,2002,giro-d-italia
19,29 May 2002,163,33.164,4671,325,4,2002,giro-d-italia
20,30 May 2002,222,29.936,4962,438,5,2002,giro-d-italia
21,31 May 2002,143,33.949,1913,75,2,2002,giro-d-italia
22,01 June 2002,44.3,47.521,364,15,1,2002,giro-d-italia
23,02 June 2002,0,37.5254,,,0,2002,giro-d-italia
1,10 May 2003,201,38.159,1259,12,1,2003,giro-d-italia
2,11 May 2003,177,37.01,1057,72,2,2003,giro-d-italia
3,12 May 2003,145,40.534,1332,72,3,2003,giro-d-italia
4,13 May 2003,170,42.43,1810,94,2,2003,giro-d-italia
5,14 May 2003,176,35.831,2094,50,2,2003,giro-d-italia
6,15 May 2003,218,41.941,2289,50,2,2003,giro-d-italia
7,-1,-1,-1,-1,-1,-1,2003,giro-d-italia
8,17 May 2003,146,37.226,2681,248,5,2003,giro-d-italia
9,18 May 2003,214,38.937,1765,37,2,2003,giro-d-italia
10,19 May 2003,160,43.25,1319,28,2,2003,giro-d-italia
11,20 May 2003,211,37.861,3431,176,2,2003,giro-d-italia
12,21 May 2003,222,38.697,168,0,1,2003,giro-d-italia
13,22 May 2003,185,35.749,3321,389,5,2003,giro-d-italia
14,23 May 2003,155,42.472,1064,59,2,2003,giro-d-italia
15,24 May 2003,162,33.901,4275,360,5,2003,giro-d-italia
16,25 May 2003,42.5,46.746,304,21,2,2003,giro-d-italia
17,26 May 2003,207,44.426,791,4,1,2003,giro-d-italia
18,-1,-1,-1,-1,-1,-1,2003,giro-d-italia
19,28 May 2003,117,43.934,489,15,1,2003,giro-d-italia
20,29 May 2003,175,32.436,5211,371,5,2003,giro-d-italia
21,30 May 2003,239,37.729,2652,200,5,2003,giro-d-italia
22,31 May 2003,133,43.019,1002,36,1,2003,giro-d-italia
23,01 June 2003,0,38.9489,,,0,2003,giro-d-italia
1,08 May 2004,6.9,48.706,112,8,1,2004,giro-d-italia
2,09 May 2004,143,38.66,1779,36,2,2004,giro-d-italia
3,10 May 2004,184,39.836,2721,123,2,2004,giro-d-italia
4,11 May 2004,191,33.107,3526,254,5,2004,giro-d-italia
5,12 May 2004,184,37.339,1936,52,2,2004,giro-d-italia
6,13 May 2004,177,40.083,1549,41,3,2004,giro-d-italia
7,14 May 2004,164,40.844,2044,61,2,2004,giro-d-italia
8,15 May 2004,214,39.336,2599,152,5,2004,giro-d-italia
9,16 May 2004,214,43.85,2474,60,2,2004,giro-d-italia
10,17 May 2004,142,34.828,867,14,2,2004,giro-d-italia
11,18 May 2004,146,42.882,2215,68,2,2004,giro-d-italia
12,-1,-1,-1,-1,-1,-1,2004,giro-d-italia
13,20 May 2004,228,42.866,2401,130,2,2004,giro-d-italia
14,21 May 2004,210,43.72,171,0,1,2004,giro-d-italia
15,22 May 2004,52,46.742,753,68,2,2004,giro-d-italia
16,23 May 2004,175,42.174,1918,36,2,2004,giro-d-italia
17,24 May 2004,234,39.014,1355,22,1,2004,giro-d-italia
18,25 May 2004,217,35.058,4914,236,2,2004,giro-d-italia
19,-1,-1,-1,-1,-1,-1,2004,giro-d-italia
20,27 May 2004,153,41.711,2279,148,2,2004,giro-d-italia
21,28 May 2004,118,29.934,3813,317,5,2004,giro-d-italia
22,29 May 2004,122,31.52,3428,339,4,2004,giro-d-italia
23,30 May 2004,0,38.5991,,,0,2004,giro-d-italia
1,07 May 2005,1.15,51.75,10,0,1,2005,giro-d-italia
2,08 May 2005,208,40.319,1785,51,3,2005,giro-d-italia
3,09 May 2005,182,39.74,1699,52,2,2005,giro-d-italia
4,10 May 2005,210,38.855,2462,102,2,2005,giro-d-italia
5,11 May 2005,220,42.56,1583,32,2,2005,giro-d-italia
6,12 May 2005,223,37.033,3353,125,3,2005,giro-d-italia
7,13 May 2005,153,42.249,1549,32,2,2005,giro-d-italia
8,14 May 2005,211,41.066,2323,135,2,2005,giro-d-italia
9,15 May 2005,45,46.141,579,34,2,2005,giro-d-italia
10,16 May 2005,139,42.653,1354,28,2,2005,giro-d-italia
11,17 May 2005,212,38.622,230,0,1,2005,giro-d-italia
12,18 May 2005,150,35.473,3798,333,5,2005,giro-d-italia
13,19 May 2005,178,36.828,2120,61,4,2005,giro-d-italia
14,-1,-1,-1,-1,-1,-1,2005,giro-d-italia
15,21 May 2005,218,33.404,5994,364,5,2005,giro-d-italia
16,22 May 2005,210,30.992,5889,365,4,2005,giro-d-italia
17,23 May 2005,154,43.445,950,30,1,2005,giro-d-italia
18,-1,-1,-1,-1,-1,-1,2005,giro-d-italia
19,25 May 2005,210,43.321,1267,61,2,2005,giro-d-italia
20,26 May 2005,194,36.863,4088,264,5,2005,giro-d-italia
21,27 May 2005,34,45.25,518,57,2,2005,giro-d-italia
22,28 May 2005,190,32.618,4674,357,5,2005,giro-d-italia
23,29 May 2005,0,37.8531,,,0,2005,giro-d-italia
1,06 May 2006,6.2,47.49,171,11,1,2006,giro-d-italia
2,07 May 2006,197,40.526,1364,15,1,2006,giro-d-italia
3,08 May 2006,202,38.515,1873,51,3,2006,giro-d-italia
4,09 May 2006,193,41.528,2581,52,2,2006,giro-d-italia
5,-1,-1,-1,-1,-1,-1,2006,giro-d-italia
6,11 May 2006,35,56.86,98,0,1,2006,giro-d-italia
7,12 May 2006,227,42.01,329,0,1,2006,giro-d-italia
8,13 May 2006,236,35.2,4513,219,5,2006,giro-d-italia
9,14 May 2006,171,41.99,2227,240,5,2006,giro-d-italia
10,15 May 2006,127,41.14,1384,67,2,2006,giro-d-italia
11,16 May 2006,187,40.1,2652,111,3,2006,giro-d-italia
12,-1,-1,-1,-1,-1,-1,2006,giro-d-italia
13,18 May 2006,50,51.02,69,0,1,2006,giro-d-italia
14,19 May 2006,171,43.5,1947,136,2,2006,giro-d-italia
15,20 May 2006,218,40.72,2766,239,4,2006,giro-d-italia
16,21 May 2006,223,40.91,3455,158,4,2006,giro-d-italia
17,22 May 2006,189,44.35,496,3,1,2006,giro-d-italia
18,23 May 2006,173,35.61,3405,303,5,2006,giro-d-italia
19,24 May 2006,121,36.04,2243,195,5,2006,giro-d-italia
20,25 May 2006,210,38,3033,171,4,2006,giro-d-italia
21,26 May 2006,224,31,5741,375,5,2006,giro-d-italia
22,27 May 2006,211,30.78,5411,392,4,2006,giro-d-italia
23,28 May 2006,0,38.3389,,,0,2006,giro-d-italia
1,12 May 2007,26,46.383,374,25,1,2007,giro-d-italia
2,13 May 2007,206,40.23,2247,79,2,2007,giro-d-italia
3,14 May 2007,180,41.07,2044,58,2,2007,giro-d-italia
4,-1,-1,-1,-1,-1,-1,2007,giro-d-italia
5,16 May 2007,154,35.17,3433,180,5,2007,giro-d-italia
6,17 May 2007,173,40.38,1720,56,2,2007,giro-d-italia
7,18 May 2007,179,35.99,3660,158,4,2007,giro-d-italia
8,19 May 2007,254,40.67,2047,50,2,2007,giro-d-italia
9,20 May 2007,197,41.48,2906,62,2,2007,giro-d-italia
10,21 May 2007,177,35.74,2272,48,2,2007,giro-d-italia
11,22 May 2007,249,39.41,4494,279,5,2007,giro-d-italia
12,23 May 2007,198,34.24,1520,25,2,2007,giro-d-italia
13,24 May 2007,163,34.12,3864,284,4,2007,giro-d-italia
14,25 May 2007,13,26.97,728,126,5,2007,giro-d-italia
15,26 May 2007,192,38.58,3633,176,4,2007,giro-d-italia
16,27 May 2007,184,31.78,5159,462,5,2007,giro-d-italia
17,-1,-1,-1,-1,-1,-1,2007,giro-d-italia
18,29 May 2007,189,33.94,3309,159,2,2007,giro-d-italia
19,30 May 2007,142,36.75,3432,398,5,2007,giro-d-italia
20,31 May 2007,208,45.74,360,0,1,2007,giro-d-italia
21,01 June 2007,178,38.86,2710,139,4,2007,giro-d-italia
22,02 June 2007,43,49.3,411,22,1,2007,giro-d-italia
23,03 June 2007,0,37.5234,,,0,2007,giro-d-italia
1,10 May 2008,23,52.01,158,2,1,2008,giro-d-italia
2,11 May 2008,207,35.63,3889,134,3,2008,giro-d-italia
3,12 May 2008,221,39.345,2164,40,2,2008,giro-d-italia
4,13 May 2008,183,37.973,2459,83,2,2008,giro-d-italia
5,14 May 2008,203,39.952,2835,114,3,2008,giro-d-italia
6,15 May 2008,232,42.855,2387,98,3,2008,giro-d-italia
7,16 May 2008,180,37.884,3936,223,3,2008,giro-d-italia
8,17 May 2008,208,44.4,2357,74,3,2008,giro-d-italia
9,18 May 2008,218,39.624,1146,34,2,2008,giro-d-italia
10,-1,-1,-1,-1,-1,-1,2008,giro-d-italia
11,20 May 2008,39,41.282,741,78,2,2008,giro-d-italia
12,21 May 2008,199,34.672,4320,195,4,2008,giro-d-italia
13,22 May 2008,169,41.306,325,0,1,2008,giro-d-italia
14,23 May 2008,177,42.291,202,0,1,2008,giro-d-italia
15,24 May 2008,195,34.69,5091,436,5,2008,giro-d-italia
16,25 May 2008,153,31.288,4864,430,5,2008,giro-d-italia
17,26 May 2008,12.9,19.14,1084,238,5,2008,giro-d-italia
18,-1,-1,-1,-1,-1,-1,2008,giro-d-italia
19,28 May 2008,146,42.302,1417,51,2,2008,giro-d-italia
20,29 May 2008,147,43.498,2241,104,2,2008,giro-d-italia
21,30 May 2008,228,34.41,3480,299,5,2008,giro-d-italia
22,31 May 2008,232,33.73,4900,280,4,2008,giro-d-italia
23,01 June 2008,0,37.8101,,,0,2008,giro-d-italia
1,09 May 2009,20.5,56.336,19,0,1,2009,giro-d-italia
2,10 May 2009,156,41.951,646,31,1,2009,giro-d-italia
3,11 May 2009,198,41.618,1155,50,3,2009,giro-d-italia
4,12 May 2009,165,38.813,2685,220,5,2009,giro-d-italia
5,13 May 2009,125,38.383,2851,313,5,2009,giro-d-italia
6,14 May 2009,242,41.496,3252,118,4,2009,giro-d-italia
7,15 May 2009,244,41.022,2501,42,2,2009,giro-d-italia
8,16 May 2009,208,40.976,3042,132,4,2009,giro-d-italia
9,17 May 2009,155,36.297,195,0,1,2009,giro-d-italia
10,-1,-1,-1,-1,-1,-1,2009,giro-d-italia
11,19 May 2009,250,38.391,4215,201,4,2009,giro-d-italia
12,20 May 2009,214,44.08,1278,40,2,2009,giro-d-italia
13,21 May 2009,60.6,38.48,1497,148,2,2009,giro-d-italia
14,22 May 2009,176,46.19,745,8,1,2009,giro-d-italia
15,23 May 2009,174,40.654,2675,124,3,2009,giro-d-italia
16,24 May 2009,159,36.77,3104,163,2,2009,giro-d-italia
17,25 May 2009,237,32.924,5699,390,5,2009,giro-d-italia
18,-1,-1,-1,-1,-1,-1,2009,giro-d-italia
19,27 May 2009,83,35.29,2085,245,5,2009,giro-d-italia
20,28 May 2009,181,43.846,2106,46,2,2009,giro-d-italia
21,29 May 2009,164,35.993,3921,292,5,2009,giro-d-italia
22,30 May 2009,203,45.092,1577,53,3,2009,giro-d-italia
23,31 May 2009,0,39.8591,,,0,2009,giro-d-italia
1,08 May 2010,8.4,48.932,60,3,1,2010,giro-d-italia
2,09 May 2010,209,42.255,684,3,1,2010,giro-d-italia
3,10 May 2010,224,44.79,322,1,1,2010,giro-d-italia
4,-1,-1,-1,-1,-1,-1,2010,giro-d-italia
5,-1,-1,-1,-1,-1,-1,2010,giro-d-italia
6,13 May 2010,168,44.61,1067,40,2,2010,giro-d-italia
7,14 May 2010,172,39.042,2420,115,2,2010,giro-d-italia
8,15 May 2010,220,42.09,2373,141,2,2010,giro-d-italia
9,16 May 2010,189,38.996,3424,246,5,2010,giro-d-italia
10,17 May 2010,188,45.432,1018,8,3,2010,giro-d-italia
11,18 May 2010,220,37.797,2292,43,2,2010,giro-d-italia
12,19 May 2010,262,40.465,4024,135,3,2010,giro-d-italia
13,20 May 2010,206,39.135,1651,61,2,2010,giro-d-italia
14,21 May 2010,223,40.892,2036,97,2,2010,giro-d-italia
15,22 May 2010,205,41.296,2214,191,4,2010,giro-d-italia
16,23 May 2010,218,34.244,3915,441,5,2010,giro-d-italia
17,-1,-1,-1,-1,-1,-1,2010,giro-d-italia
18,25 May 2010,12.9,18.666,1084,238,5,2010,giro-d-italia
19,26 May 2010,173,38.542,2871,167,5,2010,giro-d-italia
20,27 May 2010,143,44.004,1047,22,2,2010,giro-d-italia
21,28 May 2010,195,35.773,4641,388,5,2010,giro-d-italia
22,29 May 2010,178,40.032,4849,324,5,2010,giro-d-italia
23,30 May 2010,0,39.9098,,,0,2010,giro-d-italia
1,07 May 2011,19.3,55.19,36,0,1,2011,giro-d-italia
2,08 May 2011,244,42.353,944,26,1,2011,giro-d-italia
3,09 May 2011,173,43.681,2009,89,2,2011,giro-d-italia
4,10 May 2011,216,,2176,91,2,2011,giro-d-italia
5,11 May 2011,191,38.872,2723,121,3,2011,giro-d-italia
6,12 May 2011,216,41.058,3121,112,3,2011,giro-d-italia
7,13 May 2011,110,37.761,2333,173,5,2011,giro-d-italia
8,14 May 2011,217,43.436,2082,45,3,2011,giro-d-italia
9,15 May 2011,169,34.474,4091,264,5,2011,giro-d-italia
10,-1,-1,-1,-1,-1,-1,2011,giro-d-italia
11,17 May 2011,159,39.615,1207,15,3,2011,giro-d-italia
12,18 May 2011,144,40.528,2612,140,3,2011,giro-d-italia
13,19 May 2011,184,42.888,488,5,1,2011,giro-d-italia
14,20 May 2011,167,35.047,4208,352,5,2011,giro-d-italia
15,21 May 2011,172,33.9,4170,413,5,2011,giro-d-italia
16,22 May 2011,229,30.722,6939,474,5,2011,giro-d-italia
17,-1,-1,-1,-1,-1,-1,2011,giro-d-italia
18,24 May 2011,12.7,25.85,708,137,5,2011,giro-d-italia
19,25 May 2011,230,41.59,3852,158,2,2011,giro-d-italia
20,26 May 2011,151,45.157,2094,129,2,2011,giro-d-italia
21,27 May 2011,209,38.413,3018,213,5,2011,giro-d-italia
22,28 May 2011,242,38.509,3512,330,5,2011,giro-d-italia
23,29 May 2011,0,20.6831,,,0,2011,giro-d-italia
1,05 May 2012,8.7,50.032,77,0,1,2012,giro-d-italia
2,06 May 2012,206,42.156,671,1,1,2012,giro-d-italia
3,07 May 2012,190,43.698,1184,10,1,2012,giro-d-italia
4,-1,-1,-1,-1,-1,-1,2012,giro-d-italia
5,09 May 2012,33.2,53.741,199,6,1,2012,giro-d-italia
6,10 May 2012,209,44.272,842,35,1,2012,giro-d-italia
7,11 May 2012,210,37.223,3661,171,2,2012,giro-d-italia
8,12 May 2012,205,35.038,3855,176,3,2012,giro-d-italia
9,13 May 2012,229,37.532,4097,209,2,2012,giro-d-italia
10,14 May 2012,166,45.428,1298,30,1,2012,giro-d-italia
11,15 May 2012,186,42.1,2424,87,3,2012,giro-d-italia
12,16 May 2012,255,37.401,2167,58,2,2012,giro-d-italia
13,17 May 2012,155,38.926,2665,170,2,2012,giro-d-italia
14,18 May 2012,121,39.86,1740,65,1,2012,giro-d-italia
15,19 May 2012,206,37.05,3452,302,5,2012,giro-d-italia
16,20 May 2012,169,32.139,4075,324,5,2012,giro-d-italia
17,-1,-1,-1,-1,-1,-1,2012,giro-d-italia
18,22 May 2012,173,42.893,2579,104,2,2012,giro-d-italia
19,23 May 2012,186,34.372,5317,389,4,2012,giro-d-italia
20,24 May 2012,149,49.429,1009,20,1,2012,giro-d-italia
21,25 May 2012,198,31.424,5807,487,5,2012,giro-d-italia
22,26 May 2012,219,31.687,6068,463,5,2012,giro-d-italia
23,27 May 2012,0,38.2116,,,0,2012,giro-d-italia
1,04 May 2013,130,43.66,1114,15,1,2013,giro-d-italia
2,05 May 2013,17.4,47.28,307,22,1,2013,giro-d-italia
3,06 May 2013,222,38.74,3908,172,2,2013,giro-d-italia
4,07 May 2013,246,39.43,3519,191,2,2013,giro-d-italia
5,08 May 2013,203,43.84,1490,71,2,2013,giro-d-italia
6,09 May 2013,169,42.96,550,0,1,2013,giro-d-italia
7,10 May 2013,177,38.5,3115,178,2,2013,giro-d-italia
8,11 May 2013,54.8,43.01,887,62,3,2013,giro-d-italia
9,12 May 2013,170,37.57,3032,154,2,2013,giro-d-italia
10,-1,-1,-1,-1,-1,-1,2013,giro-d-italia
11,14 May 2013,167,36.08,3678,318,5,2013,giro-d-italia
12,15 May 2013,182,41.48,2824,150,3,2013,giro-d-italia
13,16 May 2013,134,44.23,1064,27,1,2013,giro-d-italia
14,17 May 2013,254,41.2,1896,87,1,2013,giro-d-italia
15,18 May 2013,181,38.39,2952,256,5,2013,giro-d-italia
16,19 May 2013,149,31.84,4069,348,5,2013,giro-d-italia
17,-1,-1,-1,-1,-1,-1,2013,giro-d-italia
18,21 May 2013,238,40.48,2803,102,2,2013,giro-d-italia
19,22 May 2013,214,40.69,887,65,2,2013,giro-d-italia
20,23 May 2013,20.6,27.79,1086,151,5,2013,giro-d-italia
21,24 May 2013,160,,4335,347,5,2013,giro-d-italia
22,25 May 2013,210,38.45,3663,272,5,2013,giro-d-italia
23,26 May 2013,0,41.1739,,,0,2013,giro-d-italia
1,09 May 2014,21.7,52.713,119,5,1,2014,giro-d-italia
2,10 May 2014,219,41.95,1349,11,1,2014,giro-d-italia
3,11 May 2014,187,41.75,1243,8,1,2014,giro-d-italia
4,-1,-1,-1,-1,-1,-1,2014,giro-d-italia
5,13 May 2014,112,47.29,309,1,1,2014,giro-d-italia
6,14 May 2014,203,38.96,2413,103,3,2014,giro-d-italia
7,15 May 2014,257,38.84,1997,84,3,2014,giro-d-italia
8,16 May 2014,211,40.05,2645,74,2,2014,giro-d-italia
9,17 May 2014,179,37.32,3515,282,5,2014,giro-d-italia
10,18 May 2014,172,38.82,2409,199,5,2014,giro-d-italia
11,-1,-1,-1,-1,-1,-1,2014,giro-d-italia
12,20 May 2014,173,43.03,403,9,1,2014,giro-d-italia
13,21 May 2014,249,42.92,3435,128,2,2014,giro-d-italia
14,22 May 2014,42.2,43.98,654,50,1,2014,giro-d-italia
15,23 May 2014,157,43.34,780,15,1,2014,giro-d-italia
16,24 May 2014,164,35.82,3691,284,5,2014,giro-d-italia
17,25 May 2014,225,40.53,2344,267,5,2014,giro-d-italia
18,-1,-1,-1,-1,-1,-1,2014,giro-d-italia
19,27 May 2014,139,29.51,4545,347,5,2014,giro-d-italia
20,28 May 2014,208,44.86,1823,64,1,2014,giro-d-italia
21,29 May 2014,171,35.4,4295,379,5,2014,giro-d-italia
22,30 May 2014,26.8,24.51,1679,316,5,2014,giro-d-italia
23,31 May 2014,167,35.54,4150,480,5,2014,giro-d-italia
24,01 June 2014,0,39.1598,,,0,2014,giro-d-italia
1,09 May 2015,17.6,54.34,83,2,1,2015,giro-d-italia
2,10 May 2015,177,41.93,1868,58,2,2015,giro-d-italia
3,11 May 2015,136,38.15,2797,117,4,2015,giro-d-italia
4,12 May 2015,150,39.48,3050,163,2,2015,giro-d-italia
5,13 May 2015,152,36.58,3066,202,5,2015,giro-d-italia
6,14 May 2015,183,42.28,1625,41,2,2015,giro-d-italia
7,15 May 2015,264,35.81,2873,112,3,2015,giro-d-italia
8,16 May 2015,186,38.28,3842,253,5,2015,giro-d-italia
9,17 May 2015,224,38.34,4264,170,4,2015,giro-d-italia
10,-1,-1,-1,-1,-1,-1,2015,giro-d-italia
11,19 May 2015,200,45.07,841,10,1,2015,giro-d-italia
12,20 May 2015,153,39.04,2949,136,2,2015,giro-d-italia
13,21 May 2015,190,43.37,1288,111,3,2015,giro-d-italia
14,22 May 2015,147,48.16,131,0,1,2015,giro-d-italia
15,23 May 2015,59.4,45.77,593,32,3,2015,giro-d-italia
16,24 May 2015,165,37.7,4634,329,5,2015,giro-d-italia
17,-1,-1,-1,-1,-1,-1,2015,giro-d-italia
18,26 May 2015,177,35.07,4951,371,5,2015,giro-d-italia
19,27 May 2015,134,42.8,1857,101,2,2015,giro-d-italia
20,28 May 2015,170,41.76,2195,172,4,2015,giro-d-italia
21,29 May 2015,236,36.85,5113,367,5,2015,giro-d-italia
22,30 May 2015,196,37.64,3355,319,5,2015,giro-d-italia
23,31 May 2015,0,39.625,,,0,2015,giro-d-italia
1,06 May 2016,9.8,53.21,37,0,1,2016,giro-d-italia
2,07 May 2016,190,40.93,732,15,1,2016,giro-d-italia
3,08 May 2016,190,43.22,691,6,1,2016,giro-d-italia
4,-1,-1,-1,-1,-1,-1,2016,giro-d-italia
5,10 May 2016,200,41.83,2418,121,2,2016,giro-d-italia
6,11 May 2016,233,41.05,3459,105,3,2016,giro-d-italia
7,12 May 2016,157,33.63,3749,233,5,2016,giro-d-italia
8,13 May 2016,211,42.04,2301,67,2,2016,giro-d-italia
9,14 May 2016,186,43.92,1985,112,3,2016,giro-d-italia
10,15 May 2016,40.5,46.96,561,34,2,2016,giro-d-italia
11,-1,-1,-1,-1,-1,-1,2016,giro-d-italia
12,17 May 2016,219,38.14,4618,261,5,2016,giro-d-italia
13,18 May 2016,227,45.93,777,61,2,2016,giro-d-italia
14,19 May 2016,182,42.66,122,0,1,2016,giro-d-italia
15,20 May 2016,170,37.53,3669,250,4,2016,giro-d-italia
16,21 May 2016,210,34.4,6001,361,4,2016,giro-d-italia
17,22 May 2016,10.8,22.62,785,152,5,2016,giro-d-italia
18,-1,-1,-1,-1,-1,-1,2016,giro-d-italia
19,24 May 2016,132,44.27,2737,236,4,2016,giro-d-italia
20,25 May 2016,196,43.32,1567,35,2,2016,giro-d-italia
21,26 May 2016,244,44.97,1637,139,2,2016,giro-d-italia
22,27 May 2016,162,37.4,3905,315,5,2016,giro-d-italia
23,28 May 2016,134,30.6,4500,344,5,2016,giro-d-italia
24,29 May 2016,0,40.0584,,,0,2016,giro-d-italia
1,05 May 2017,206,39.42,2176,51,2,2017,giro-d-italia
2,06 May 2017,221,36.3,3518,91,2,2017,giro-d-italia
3,07 May 2017,148,42.99,1441,41,1,2017,giro-d-italia
4,-1,-1,-1,-1,-1,-1,2017,giro-d-italia
5,09 May 2017,181,36.69,4170,298,5,2017,giro-d-italia
6,10 May 2017,159,43.33,1780,43,2,2017,giro-d-italia
7,11 May 2017,217,43.69,2247,72,2,2017,giro-d-italia
8,12 May 2017,224,40.08,1340,27,2,2017,giro-d-italia
9,13 May 2017,189,42.8,2127,110,2,2017,giro-d-italia
10,14 May 2017,152,40.56,2921,308,5,2017,giro-d-italia
11,-1,-1,-1,-1,-1,-1,2017,giro-d-italia
12,16 May 2017,39.8,47.18,505,35,2,2017,giro-d-italia
13,17 May 2017,161,36.7,3912,183,4,2017,giro-d-italia
14,18 May 2017,229,43.08,2407,50,2,2017,giro-d-italia
15,19 May 2017,167,44,399,0,1,2017,giro-d-italia
16,20 May 2017,131,43.05,1106,129,5,2017,giro-d-italia
17,21 May 2017,199,46.49,2255,129,2,2017,giro-d-italia
18,-1,-1,-1,-1,-1,-1,2017,giro-d-italia
19,23 May 2017,222,34.65,5845,329,4,2017,giro-d-italia
20,24 May 2017,219,38.32,4576,166,4,2017,giro-d-italia
21,25 May 2017,137,35.12,3961,281,5,2017,giro-d-italia
22,26 May 2017,191,39.11,3551,250,5,2017,giro-d-italia
23,27 May 2017,190,38.26,3721,227,4,2017,giro-d-italia
24,28 May 2017,0,39.875,,,0,2017,giro-d-italia
1,04 May 2018,9.7,48.37,155,9,3,2018,giro-d-italia
2,05 May 2018,167,43.31,988,9,2,2018,giro-d-italia
3,06 May 2018,229,45.47,1771,16,2,2018,giro-d-italia
4,-1,-1,-1,-1,-1,-1,2018,giro-d-italia
5,08 May 2018,202,38.17,3428,111,3,2018,giro-d-italia
6,09 May 2018,153,37.23,2237,97,3,2018,giro-d-italia
7,10 May 2018,164,38.41,3307,241,5,2018,giro-d-italia
8,11 May 2018,159,42.32,1023,29,1,2018,giro-d-italia
9,12 May 2018,209,40.25,3248,171,5,2018,giro-d-italia
10,13 May 2018,225,38.11,4034,240,5,2018,giro-d-italia
11,-1,-1,-1,-1,-1,-1,2018,giro-d-italia
12,15 May 2018,244,40.12,4133,118,2,2018,giro-d-italia
13,16 May 2018,156,45.46,2027,95,3,2018,giro-d-italia
14,17 May 2018,214,44.34,874,29,2,2018,giro-d-italia
15,18 May 2018,180,45.68,429,10,1,2018,giro-d-italia
16,19 May 2018,186,34.28,4477,473,5,2018,giro-d-italia
17,20 May 2018,176,37.99,4112,264,4,2018,giro-d-italia
18,-1,-1,-1,-1,-1,-1,2018,giro-d-italia
19,22 May 2018,34.2,51.3,223,9,1,2018,giro-d-italia
20,23 May 2018,155,46.51,2040,55,2,2018,giro-d-italia
21,24 May 2018,196,39.77,2314,185,5,2018,giro-d-italia
22,25 May 2018,184,35.34,5216,313,5,2018,giro-d-italia
23,26 May 2018,214,37.35,4254,351,5,2018,giro-d-italia
24,27 May 2018,0,40.1109,,,0,2018,giro-d-italia
1,11 May 2019,8,37.209,291,39,3,2019,giro-d-italia
2,12 May 2019,205,43.201,2242,69,2,2019,giro-d-italia
3,13 May 2019,220,40.827,1790,31,2,2019,giro-d-italia
4,14 May 2019,235,39.354,2995,80,3,2019,giro-d-italia
5,15 May 2019,140,42.916,2056,88,2,2019,giro-d-italia
